Quantify Compound Summary Report 

Printed Fri Nov 01 09:11:15 2013

Compound 1:  buspirone

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
41	41	SP118414_20131030_CYP3A4_Stab_607	T5 buspirone	Analyte	1.00	0.95	161420		161000	bb		
42	42	SP118414_20131030_CYP3A4_Stab_608	T0 buspirone	Analyte	1.00	0.95	173299		173000	bb		

Quantify Compound Summary Report 

Printed Fri Nov 01 09:11:15 2013

Compound 1:  loperamide

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
43	43	SP118414_20131030_CYP3A4_Stab_22	Blank loperamide	Analyte		0.92	399	187907	0.00213	bb		
44	44	SP118414_20131030_CYP3A4_Stab_23	T60 loperamide	Analyte		0.92	2735	212707	0.0129	bb		
45	45	SP118414_20131030_CYP3A4_Stab_24	T30 loperamide	Analyte		0.92	12739	217960	0.0584	bb		
46	46	SP118414_20131030_CYP3A4_Stab_25	T15 loperamide	Analyte		0.91	63508	237107	0.268	bb		
47	47	SP118414_20131030_CYP3A4_Stab_26	T10 loperamide	Analyte		0.91	138897	229528	0.605	bb		
48	48	SP118414_20131030_CYP3A4_Stab_27	T5 loperamide	Analyte		0.91	306371	198324	1.54	bb		
49	49	SP118414_20131030_CYP3A4_Stab_28	T0 loperamide	Analyte		0.91	843639	215774	3.91	bb		
50	50	SP118414_20131030_CYP3A4_Stab_141	Blank loperamide	Analyte		0.91	111	159362	0.000695	bb		
51	51	SP118414_20131030_CYP3A4_Stab_142	T60 loperamide	Analyte		0.91	4070	148258	0.0275	bb		
52	52	SP118414_20131030_CYP3A4_Stab_143	T30 loperamide	Analyte		0.92	15985	148843	0.107	bb		
53	53	SP118414_20131030_CYP3A4_Stab_144	T15 loperamide	Analyte		0.91	66130	151516	0.436	bb		
54	54	SP118414_20131030_CYP3A4_Stab_145	T10 loperamide	Analyte		0.92	145576	142587	1.02	bb		
55	55	SP118414_20131030_CYP3A4_Stab_146	T5 loperamide	Analyte		0.91	332770	150146	2.22	bb		
56	56	SP118414_20131030_CYP3A4_Stab_147	T0 loperamide	Analyte		0.92	1374681	173187	7.94	bb		
57	57	SP118414_20131030_CYP3A4_Stab_218	Blank loperamide	Analyte		0.92	116	141727	0.000815	bb		
58	58	SP118414_20131030_CYP3A4_Stab_219	T60 loperamide	Analyte		0.92	2920	144547	0.0202	bb		
59	59	SP118414_20131030_CYP3A4_Stab_220	T30 loperamide	Analyte		0.92	12672	143039	0.0886	bb		
60	60	SP118414_20131030_CYP3A4_Stab_221	T15 loperamide	Analyte		0.91	61223	148394	0.413	bb		
61	61	SP118414_20131030_CYP3A4_Stab_222	T10 loperamide	Analyte		0.92	134560	140278	0.959	bb		
62	62	SP118414_20131030_CYP3A4_Stab_223	T5 loperamide	Analyte		0.91	318215	142009	2.24	bb		
63	63	SP118414_20131030_CYP3A4_Stab_224	T0 loperamide	Analyte		0.91	1299085	154840	8.39	bb		
64	64	SP118414_20131030_CYP3A4_Stab_295	Blank loperamide	Analyte		0.92	96	152144	0.000634	MM		
65	65	SP118414_20131030_CYP3A4_Stab_296	T60 loperamide	Analyte		0.92	2219	140276	0.0158	bb		
66	66	SP118414_20131030_CYP3A4_Stab_297	T30 loperamide	Analyte		0.92	9175	138106	0.0664	bb		
67	67	SP118414_20131030_CYP3A4_Stab_298	T15 loperamide	Analyte		0.91	50191	148028	0.339	bb		
68	68	SP118414_20131030_CYP3A4_Stab_299	T10 loperamide	Analyte		0.92	117583	145649	0.807	bb		
69	69	SP118414_20131030_CYP3A4_Stab_300	T5 loperamide	Analyte		0.92	262272	139023	1.89	bb		
70	70	SP118414_20131030_CYP3A4_Stab_301	T0 loperamide	Analyte		0.91	1175294	147412	7.97	bb		
71	71	SP118414_20131030_CYP3A4_Stab_365	Blank loperamide	Analyte		0.92	70	137897	0.000508	MM		
72	72	SP118414_20131030_CYP3A4_Stab_366	T60 loperamide	Analyte		0.92	112	134726	0.000833	bb		
73	73	SP118414_20131030_CYP3A4_Stab_367	T30 loperamide	Analyte		0.92	127	127245	0.000999	bb		
74	74	SP118414_20131030_CYP3A4_Stab_368	T15 loperamide	Analyte		0.92	423	135286	0.00313	bd		
75	75	SP118414_20131030_CYP3A4_Stab_369	T10 loperamide	Analyte		0.92	1141	132316	0.00862	bb		
76	76	SP118414_20131030_CYP3A4_Stab_370	T5 loperamide	Analyte		0.92	3884	136297	0.0285	bb		
77	77	SP118414_20131030_CYP3A4_Stab_371	T0 loperamide	Analyte		0.92	29330	151774	0.193	bb		
78	78	SP118414_20131030_CYP3A4_Stab_442	Blank loperamide	Analyte		0.92	90	137867	0.000656	MM		
79	79	SP118414_20131030_CYP3A4_Stab_443	T60 loperamide	Analyte		0.92	244	136302	0.00179	bb		
80	80	SP118414_20131030_CYP3A4_Stab_444	T30 loperamide	Analyte		0.92	673	139731	0.00481	bd		
81	81	SP118414_20131030_CYP3A4_Stab_445	T15 loperamide	Analyte		0.92	4899	131293	0.0373	bb		
82	82	SP118414_20131030_CYP3A4_Stab_446	T10 loperamide	Analyte		0.92	14004	130926	0.107	bb		
83	83	SP118414_20131030_CYP3A4_Stab_447	T5 loperamide	Analyte		0.92	44006	131967	0.333	bb		
84	84	SP118414_20131030_CYP3A4_Stab_448	T0 loperamide	Analyte		0.92	295248	151217	1.95	bb		

Compound 2:  albendazole

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
43	43	SP118414_20131030_CYP3A4_Stab_22	Blank loperamide	Analyte	1.00	0.95	187907		188000	bb		
44	44	SP118414_20131030_CYP3A4_Stab_23	T60 loperamide	Analyte	1.00	0.96	212707		213000	bb		
45	45	SP118414_20131030_CYP3A4_Stab_24	T30 loperamide	Analyte	1.00	0.95	217960		218000	bb		
46	46	SP118414_20131030_CYP3A4_Stab_25	T15 loperamide	Analyte	1.00	0.95	237107		237000	bb		
47	47	SP118414_20131030_CYP3A4_Stab_26	T10 loperamide	Analyte	1.00	0.95	229528		230000	bb		
48	48	SP118414_20131030_CYP3A4_Stab_27	T5 loperamide	Analyte	1.00	0.95	198324		198000	bb		
49	49	SP118414_20131030_CYP3A4_Stab_28	T0 loperamide	Analyte	1.00	0.95	215774		216000	bb		
50	50	SP118414_20131030_CYP3A4_Stab_141	Blank loperamide	Analyte	1.00	0.95	159362		159000	bb		
51	51	SP118414_20131030_CYP3A4_Stab_142	T60 loperamide	Analyte	1.00	0.95	148258		148000	bb		
52	52	SP118414_20131030_CYP3A4_Stab_143	T30 loperamide	Analyte	1.00	0.96	148843		149000	bb		
53	53	SP118414_20131030_CYP3A4_Stab_144	T15 loperamide	Analyte	1.00	0.95	151516		152000	bb		
54	54	SP118414_20131030_CYP3A4_Stab_145	T10 loperamide	Analyte	1.00	0.96	142587		143000	bb		
55	55	SP118414_20131030_CYP3A4_Stab_146	T5 loperamide	Analyte	1.00	0.95	150146		150000	bb		
56	56	SP118414_20131030_CYP3A4_Stab_147	T0 loperamide	Analyte	1.00	0.96	173187		173000	bb		
57	57	SP118414_20131030_CYP3A4_Stab_218	Blank loperamide	Analyte	1.00	0.95	141727		142000	bb		
58	58	SP118414_20131030_CYP3A4_Stab_219	T60 loperamide	Analyte	1.00	0.95	144547		145000	bb		
59	59	SP118414_20131030_CYP3A4_Stab_220	T30 loperamide	Analyte	1.00	0.95	143039		143000	bb		
60	60	SP118414_20131030_CYP3A4_Stab_221	T15 loperamide	Analyte	1.00	0.95	148394		148000	bb		
61	61	SP118414_20131030_CYP3A4_Stab_222	T10 loperamide	Analyte	1.00	0.96	140278		140000	bb		
62	62	SP118414_20131030_CYP3A4_Stab_223	T5 loperamide	Analyte	1.00	0.95	142009		142000	bb		
63	63	SP118414_20131030_CYP3A4_Stab_224	T0 loperamide	Analyte	1.00	0.95	154840		155000	bb		
64	64	SP118414_20131030_CYP3A4_Stab_295	Blank loperamide	Analyte	1.00	0.96	152144		152000	bb		
65	65	SP118414_20131030_CYP3A4_Stab_296	T60 loperamide	Analyte	1.00	0.95	140276		140000	bb		
66	66	SP118414_20131030_CYP3A4_Stab_297	T30 loperamide	Analyte	1.00	0.95	138106		138000	bb		
67	67	SP118414_20131030_CYP3A4_Stab_298	T15 loperamide	Analyte	1.00	0.95	148028		148000	bb		
68	68	SP118414_20131030_CYP3A4_Stab_299	T10 loperamide	Analyte	1.00	0.95	145649		146000	bb		
69	69	SP118414_20131030_CYP3A4_Stab_300	T5 loperamide	Analyte	1.00	0.95	139023		139000	bb		
70	70	SP118414_20131030_CYP3A4_Stab_301	T0 loperamide	Analyte	1.00	0.95	147412		147000	bb		
71	71	SP118414_20131030_CYP3A4_Stab_365	Blank loperamide	Analyte	1.00	0.96	137897		138000	bb		
72	72	SP118414_20131030_CYP3A4_Stab_366	T60 loperamide	Analyte	1.00	0.95	134726		135000	bb		
73	73	SP118414_20131030_CYP3A4_Stab_367	T30 loperamide	Analyte	1.00	0.95	127245		127000	bb		
74	74	SP118414_20131030_CYP3A4_Stab_368	T15 loperamide	Analyte	1.00	0.96	135286		135000	bb		
75	75	SP118414_20131030_CYP3A4_Stab_369	T10 loperamide	Analyte	1.00	0.95	132316		132000	bb		
76	76	SP118414_20131030_CYP3A4_Stab_370	T5 loperamide	Analyte	1.00	0.95	136297		136000	bb		
77	77	SP118414_20131030_CYP3A4_Stab_371	T0 loperamide	Analyte	1.00	0.95	151774		152000	bb		
78	78	SP118414_20131030_CYP3A4_Stab_442	Blank loperamide	Analyte	1.00	0.96	137867		138000	bb		
79	79	SP118414_20131030_CYP3A4_Stab_443	T60 loperamide	Analyte	1.00	0.96	136302		136000	bb		
80	80	SP118414_20131030_CYP3A4_Stab_444	T30 loperamide	Analyte	1.00	0.95	139731		140000	bb		
81	81	SP118414_20131030_CYP3A4_Stab_445	T15 loperamide	Analyte	1.00	0.96	131293		131000	bb		
82	82	SP118414_20131030_CYP3A4_Stab_446	T10 loperamide	Analyte	1.00	0.95	130926		131000	bb		
83	83	SP118414_20131030_CYP3A4_Stab_447	T5 loperamide	Analyte	1.00	0.95	131967		132000	bb		
84	84	SP118414_20131030_CYP3A4_Stab_448	T0 loperamide	Analyte	1.00	0.95	151217		151000	bb		

Quantify Compound Summary Report 

Printed Fri Nov 01 09:11:15 2013

Compound 1:  ketoconazole

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
85	85	SP118414_20131030_CYP3A4_Stab_29	Blank ketoconazole	Analyte		0.89	17	190862	0.0000916	MM		
86	86	SP118414_20131030_CYP3A4_Stab_30	T60 ketoconazole	Analyte		0.88	7111	188189	0.0378	bb		
87	87	SP118414_20131030_CYP3A4_Stab_31	T30 ketoconazole	Analyte		0.88	12880	187060	0.0689	bb		
88	88	SP118414_20131030_CYP3A4_Stab_32	T15 ketoconazole	Analyte		0.88	19415	190568	0.102	bb		
89	89	SP118414_20131030_CYP3A4_Stab_33	T10 ketoconazole	Analyte		0.88	21571	176873	0.122	bb		
90	90	SP118414_20131030_CYP3A4_Stab_34	T5 ketoconazole	Analyte		0.88	19298	182423	0.106	bb		
91	91	SP118414_20131030_CYP3A4_Stab_35	T0 ketoconazole	Analyte		0.88	46198	188864	0.245	bb		
92	92	SP118414_20131030_CYP3A4_Stab_148	Blank ketoconazole	Analyte		0.88	8	143877	0.0000530	MM		
93	93	SP118414_20131030_CYP3A4_Stab_149	T60 ketoconazole	Analyte		0.88	4733	135003	0.0351	bb		
94	94	SP118414_20131030_CYP3A4_Stab_150	T30 ketoconazole	Analyte		0.88	10025	151641	0.0661	bb		
95	95	SP118414_20131030_CYP3A4_Stab_151	T15 ketoconazole	Analyte		0.88	14801	135530	0.109	bb		
96	96	SP118414_20131030_CYP3A4_Stab_152	T10 ketoconazole	Analyte		0.88	18426	154269	0.119	bb		
97	97	SP118414_20131030_CYP3A4_Stab_153	T5 ketoconazole	Analyte		0.88	17616	127000	0.139	bb		
98	98	SP118414_20131030_CYP3A4_Stab_154	T0 ketoconazole	Analyte		0.88	44279	164203	0.270	bb		
99	99	SP118414_20131030_CYP3A4_Stab_225	Blank ketoconazole	Analyte		0.89	6	137308	0.0000418	MM		
100	100	SP118414_20131030_CYP3A4_Stab_226	T60 ketoconazole	Analyte		0.88	5152	142658	0.0361	bb		
101	101	SP118414_20131030_CYP3A4_Stab_227	T30 ketoconazole	Analyte		0.88	10060	140876	0.0714	bb		
102	102	SP118414_20131030_CYP3A4_Stab_228	T15 ketoconazole	Analyte		0.88	15586	140887	0.111	bb		
103	103	SP118414_20131030_CYP3A4_Stab_229	T10 ketoconazole	Analyte		0.88	18801	136657	0.138	bd		
104	104	SP118414_20131030_CYP3A4_Stab_230	T5 ketoconazole	Analyte		0.88	20964	138854	0.151	bb		
105	105	SP118414_20131030_CYP3A4_Stab_231	T0 ketoconazole	Analyte		0.88	42721	150229	0.284	bb		
106	106	SP118414_20131030_CYP3A4_Stab_302	Blank ketoconazole	Analyte		0.88	5	135674	0.0000404	MM		
107	107	SP118414_20131030_CYP3A4_Stab_303	T60 ketoconazole	Analyte		0.88	5898	137034	0.0430	bb		
108	108	SP118414_20131030_CYP3A4_Stab_304	T30 ketoconazole	Analyte		0.88	10785	144788	0.0745	bb		
109	109	SP118414_20131030_CYP3A4_Stab_305	T15 ketoconazole	Analyte		0.88	16338	144381	0.113	bb		
110	110	SP118414_20131030_CYP3A4_Stab_306	T10 ketoconazole	Analyte		0.88	20232	136676	0.148	bb		
111	111	SP118414_20131030_CYP3A4_Stab_307	T5 ketoconazole	Analyte		0.88	21560	130513	0.165	bb		
112	112	SP118414_20131030_CYP3A4_Stab_308	T0 ketoconazole	Analyte		0.88	44306	139671	0.317	bb		
113	113	SP118414_20131030_CYP3A4_Stab_372	Blank ketoconazole	Analyte		0.88	11	134740	0.0000810	MM		
114	114	SP118414_20131030_CYP3A4_Stab_373	T60 ketoconazole	Analyte		0.88	11089	126963	0.0873	bb		
115	115	SP118414_20131030_CYP3A4_Stab_374	T30 ketoconazole	Analyte		0.88	18859	138300	0.136	bb		
116	116	SP118414_20131030_CYP3A4_Stab_375	T15 ketoconazole	Analyte		0.88	25853	133991	0.193	bb		
117	117	SP118414_20131030_CYP3A4_Stab_376	T10 ketoconazole	Analyte		0.88	29322	131619	0.223	bb		
118	118	SP118414_20131030_CYP3A4_Stab_377	T5 ketoconazole	Analyte		0.88	30644	127697	0.240	bb		
119	119	SP118414_20131030_CYP3A4_Stab_378	T0 ketoconazole	Analyte		0.88	65833	142645	0.462	bb		
120	120	SP118414_20131030_CYP3A4_Stab_449	Blank ketoconazole	Analyte		0.87	2	135067	0.0000176	MM		
121	121	SP118414_20131030_CYP3A4_Stab_450	T60 ketoconazole	Analyte		0.88	4	135973	0.0000293	MM		
122	122	SP118414_20131030_CYP3A4_Stab_451	T30 ketoconazole	Analyte		0.88	480	131308	0.00366	bb		
123	123	SP118414_20131030_CYP3A4_Stab_452	T15 ketoconazole	Analyte		0.88	2357	133183	0.0177	bb		
124	124	SP118414_20131030_CYP3A4_Stab_453	T10 ketoconazole	Analyte		0.88	3524	129292	0.0273	bb		
125	125	SP118414_20131030_CYP3A4_Stab_454	T5 ketoconazole	Analyte		0.88	5094	126932	0.0401	bb		
126	126	SP118414_20131030_CYP3A4_Stab_455	T0 ketoconazole	Analyte		0.88	15024	139481	0.108	bb		

Compound 2:  albendazole

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
85	85	SP118414_20131030_CYP3A4_Stab_29	Blank ketoconazole	Analyte	1.00	0.95	190862		191000	bb		
86	86	SP118414_20131030_CYP3A4_Stab_30	T60 ketoconazole	Analyte	1.00	0.96	188189		188000	bb		
87	87	SP118414_20131030_CYP3A4_Stab_31	T30 ketoconazole	Analyte	1.00	0.95	187060		187000	bb		
88	88	SP118414_20131030_CYP3A4_Stab_32	T15 ketoconazole	Analyte	1.00	0.96	190568		191000	bb		
89	89	SP118414_20131030_CYP3A4_Stab_33	T10 ketoconazole	Analyte	1.00	0.95	176873		177000	bb		
90	90	SP118414_20131030_CYP3A4_Stab_34	T5 ketoconazole	Analyte	1.00	0.95	182423		182000	bb		
91	91	SP118414_20131030_CYP3A4_Stab_35	T0 ketoconazole	Analyte	1.00	0.96	188864		189000	bb		
92	92	SP118414_20131030_CYP3A4_Stab_148	Blank ketoconazole	Analyte	1.00	0.95	143877		144000	bb		
93	93	SP118414_20131030_CYP3A4_Stab_149	T60 ketoconazole	Analyte	1.00	0.95	135003		135000	bb		
94	94	SP118414_20131030_CYP3A4_Stab_150	T30 ketoconazole	Analyte	1.00	0.95	151641		152000	bb		
95	95	SP118414_20131030_CYP3A4_Stab_151	T15 ketoconazole	Analyte	1.00	0.96	135530		136000	bb		
96	96	SP118414_20131030_CYP3A4_Stab_152	T10 ketoconazole	Analyte	1.00	0.95	154269		154000	bb		
97	97	SP118414_20131030_CYP3A4_Stab_153	T5 ketoconazole	Analyte	1.00	0.96	127000		127000	bb		
98	98	SP118414_20131030_CYP3A4_Stab_154	T0 ketoconazole	Analyte	1.00	0.95	164203		164000	bb		
99	99	SP118414_20131030_CYP3A4_Stab_225	Blank ketoconazole	Analyte	1.00	0.95	137308		137000	bb		
100	100	SP118414_20131030_CYP3A4_Stab_226	T60 ketoconazole	Analyte	1.00	0.95	142658		143000	bb		
101	101	SP118414_20131030_CYP3A4_Stab_227	T30 ketoconazole	Analyte	1.00	0.96	140876		141000	bb		
102	102	SP118414_20131030_CYP3A4_Stab_228	T15 ketoconazole	Analyte	1.00	0.95	140887		141000	bb		
103	103	SP118414_20131030_CYP3A4_Stab_229	T10 ketoconazole	Analyte	1.00	0.95	136657		137000	bb		
104	104	SP118414_20131030_CYP3A4_Stab_230	T5 ketoconazole	Analyte	1.00	0.95	138854		139000	bb		
105	105	SP118414_20131030_CYP3A4_Stab_231	T0 ketoconazole	Analyte	1.00	0.95	150229		150000	bb		
